Parameter, Type, CC, NRPN, MSB, LSB, NRPN range, CC range
Drive, Part, 78, 1, 0, 1, 0 - 16383, 0-127
Character, Part, 70, 2, 0, 2, 0 - 16383, 0-127
DCO: Osc 1 Wave, Part, , 128, 1, 0, "0: Saw, 1: Pulse, 2: Saw R, 3: Pulse R, 4: None", "0: Saw, 1: Pulse, 2: Saw R, 3: Pulse R, 4: None"
DCO: Osc 2 Wave, Part, , 129, 1, 1, "0: Saw, 1: Pulse, 2: Saw R, 3: Pulse R, 4: None", "0: Saw, 1: Pulse, 2: Saw R, 3: Pulse R, 4: None"
DCO: Osc 1 PW, Part, , 130, 1, 2, 0 - 16383, 0-127
DCO: Osc 2 PW, Part, , 131, 1, 3, 0 - 16383, 0-127
DCO: Osc 2 Tune, Part, , 132, 1, 4, 0 - 16383, 0-127
DCO: Stack, Part, 75, 133, 1, 5, 1 - 8, 1 - 8
DCO: Detune, Part, 76, 134, 1, 6, 0 - 16383, 0-127
DCO: Balance, Part, 77, 135, 1, 7, 0 - 16383, 0-127
DCO: Noise Level, Part, , 136, 1, 8, 0 - 16383, 0-127
VCF: Cutoff, Part, 79, 256, 2, 0, 0 - 16383, 0-127
VCF: Resonance, Part, 71, 257, 2, 1, 0 - 16383, 0-127
VCF: Env Amount, Part, 73, 258, 2, 2, 0 - 16383, 0-127
VCF: Filter Mode, Part, 72, 259, 2, 3, 0 - 16383, 0-127
VCF: Key Follow, Part, , 260, 2, 4, 0 - 16383, 0-127
VCF: Vel > VCF Env, Part, , 261, 2, 5, 0 - 16383, 0-127
VCF: Filter Engine, Part, , 262, 2, 6, "0: CLASSIC, 1: MIRROR TWINS", "0: CLASSIC, 1: MIRROR TWINS"
Amp: Gain, Part, , 384, 3, 0, 0 - 16383, 0-127
Amp: Pan, Part, 10, 385, 3, 1, 0 - 16383, 0-127
Amp: Vel > Amp, Part, , 386, 3, 2, 0 - 16383, 0-127
Perform: Pitch, Part, , 512, 4, 0, 0 - 16383, 0-127
Perform: Glide, Part, , 513, 4, 1, 0 - 16383, 0-127
Perform: Glide Mode, Part, , 514, 4, 2, "0: Normal, 1: Legato", "0: Normal, 1: Legato"
Parts: Volume, Part, 7, 768, 6, 0, 0 - 16383, 0-127
Parts: Polyphony, Part, , 769, 6, 1, 1 - 6, 1 - 6
Parts: Unison, Part, , 770, 6, 2, 1 - 6, 1 - 6
Parts: Unison Pan Spread, Part, , 771, 6, 3, 0 - 16383, 0-127
Parts: Paraphony, Part, , 772, 6, 4, 1 - 16, 1 - 16
Parts: Trigger Mode, Part, , 773, 6, 5, "0: Legato, 1: Retrig", "0: Legato, 1: Retrig"
Parts: Part Enabled, Part, , 774, 6, 6, "0: false, 1: true", "0: false, 1: true"
Parts: Output, Part, , 775, 6, 7, "0: Main, 1: Aux1, 2: Aux2", "0: Main, 1: Aux1, 2: Aux2"
Parts: Voices Mode, Part, , 776, 6, 8, "0: Dynamic, 1: Reserve", "0: Dynamic, 1: Reserve"
